date,time,liks,DL_sig
2022-03-31,900,,
2022-03-31,901,,
2022-03-31,902,,
2022-03-31,903,,
2022-03-31,904,,
2022-03-31,905,,
2022-03-31,906,,
2022-03-31,907,,
2022-03-31,908,,
2022-03-31,909,,
2022-03-31,910,,
2022-03-31,911,,
2022-03-31,912,,
2022-03-31,913,,
2022-03-31,914,,
2022-03-31,915,,
2022-03-31,916,,
2022-03-31,917,,
2022-03-31,918,,
2022-03-31,919,,
2022-03-31,920,,
2022-03-31,921,,
2022-03-31,922,,
2022-03-31,923,,
2022-03-31,924,,
2022-03-31,925,,
2022-03-31,926,,
2022-03-31,927,,
2022-03-31,928,,
2022-03-31,929,,
2022-03-31,930,0.5975171,
2022-03-31,931,0.567704,
2022-03-31,932,0.5997976,
2022-03-31,933,0.54879993,
2022-03-31,934,,
2022-03-31,935,0.5933629,
2022-03-31,936,0.5732012,
2022-03-31,937,0.56867623,
2022-03-31,938,0.5170111,
2022-03-31,939,0.57079893,
2022-03-31,940,,
2022-03-31,941,0.5142024,
2022-03-31,942,0.54166776,
2022-03-31,943,,
2022-03-31,944,0.5574156,
2022-03-31,945,0.5128321,
2022-03-31,946,,
2022-03-31,947,0.54138875,
2022-03-31,948,0.51587003,
2022-03-31,949,0.5625127,
2022-03-31,950,0.55243695,
2022-03-31,951,0.5438665,
2022-03-31,952,0.54893726,
2022-03-31,953,0.5219964,
2022-03-31,954,,
2022-03-31,955,0.5925691,
2022-03-31,956,0.57106864,
2022-03-31,957,0.57666475,
2022-03-31,958,0.60149467,
2022-03-31,959,0.52147967,
2022-03-31,1000,,
2022-03-31,1001,,
2022-03-31,1002,0.53728706,
2022-03-31,1003,0.5493271,
2022-03-31,1004,0.5057759,
2022-03-31,1005,0.57721204,
2022-03-31,1006,0.524132,
2022-03-31,1007,0.6055168,
2022-03-31,1008,0.5452897,
2022-03-31,1009,0.50733054,
2022-03-31,1010,0.6285885,
2022-03-31,1011,,
2022-03-31,1012,0.58902776,
2022-03-31,1013,0.6323592,
2022-03-31,1014,0.5493573,
2022-03-31,1015,0.5970631,
2022-03-31,1016,,
2022-03-31,1017,0.5248289,
2022-03-31,1018,,
2022-03-31,1019,0.5339346,
2022-03-31,1020,0.6115235,
2022-03-31,1021,0.5078057,
2022-03-31,1022,0.56849915,
2022-03-31,1023,0.59269744,
2022-03-31,1024,0.563728,
2022-03-31,1025,0.6205861,
2022-03-31,1026,0.60659665,
2022-03-31,1027,0.54661524,
2022-03-31,1028,0.5202982,
2022-03-31,1029,0.51996225,
2022-03-31,1030,0.509665,
2022-03-31,1031,0.55784553,
2022-03-31,1032,0.5597408,
2022-03-31,1033,0.53677356,
2022-03-31,1034,0.6055146,
2022-03-31,1035,0.6283982,
2022-03-31,1036,0.5796191,
2022-03-31,1037,0.5693671,
2022-03-31,1038,0.5301756,
2022-03-31,1039,0.5339628,
2022-03-31,1040,0.5759193,
2022-03-31,1041,0.5114644,
2022-03-31,1042,0.51122576,
2022-03-31,1043,0.51287246,
2022-03-31,1044,0.6339052,
2022-03-31,1045,,
2022-03-31,1046,0.5255781,
2022-03-31,1047,0.52608055,
2022-03-31,1048,0.5185217,
2022-03-31,1049,0.5464529,
2022-03-31,1050,0.50177354,
2022-03-31,1051,0.5406379,
2022-03-31,1052,0.50919306,
2022-03-31,1053,0.5163972,
2022-03-31,1054,,
2022-03-31,1055,0.5494427,
2022-03-31,1056,0.507933,
2022-03-31,1057,0.53834826,
2022-03-31,1058,0.6021856,
2022-03-31,1059,0.54489505,
2022-03-31,1100,0.6074244,
2022-03-31,1101,0.5124326,
2022-03-31,1102,0.5504369,
2022-03-31,1103,0.55703646,
2022-03-31,1104,0.56506974,
2022-03-31,1105,0.5116663,
2022-03-31,1106,0.5203587,
2022-03-31,1107,0.5621345,
2022-03-31,1108,0.5188659,
2022-03-31,1109,,
2022-03-31,1110,0.5175163,
